timestamp,elapsed_time,x,y,z,velocity,is_static,anchor_count,a1_measured,a1_filtered,a1_corrected,a2_measured,a2_filtered,a2_corrected,a3_measured,a3_filtered,a3_corrected,a4_measured,a4_filtered,a4_corrected,a5_measured,a5_filtered,a5_corrected
2025-11-08 13:36:24.595,22.098,1.738969,0.849563,1.666291,0.287328,0,5,2.163258,2.191642,2.445349,0.807635,1.557542,1.371338,3.525401,3.304810,3.314776,2.968466,3.169105,3.057254,1.789150,1.328589,1.568673
2025-11-08 13:36:24.848,22.352,1.738969,0.849563,1.666291,0.000000,0,4,2.312636,2.262589,2.355244,,,,3.525401,3.309138,3.314776,2.968466,3.120533,3.057254,1.789150,1.432848,1.568673
2025-11-08 13:36:25.092,22.596,1.808081,0.841741,1.734942,0.265175,0,5,1.520986,2.187704,2.090068,1.463980,1.530599,1.495497,3.875546,3.465121,3.668331,3.877477,3.388955,3.738648,1.613568,1.400727,1.358882
2025-11-08 13:36:25.344,22.848,1.808081,0.841741,1.734942,0.124159,0,4,0.958243,1.636435,0.918075,,,,3.462184,3.373271,3.253610,3.877477,3.540812,3.738648,1.613568,1.382556,1.358882
2025-11-08 13:36:25.616,23.120,1.804351,0.810746,1.679533,0.516264,0,5,1.306759,1.586852,1.522250,0.784286,1.291163,0.979232,3.347472,3.267855,3.130523,2.813480,3.188465,2.729437,1.137802,1.214428,0.995396
2025-11-08 13:36:25.864,23.368,1.782787,0.845115,1.641498,0.000000,0,5,1.306759,1.558798,1.522250,0.890941,1.384577,1.506274,3.148439,3.117736,2.922163,2.813480,2.989128,2.729437,1.137802,1.119312,0.995396
2025-11-08 13:36:26.109,23.613,1.852822,0.824644,1.454187,0.351807,0,5,1.680558,1.802232,2.119374,1.816164,1.561580,1.792175,3.480536,3.185582,3.273970,3.909086,3.437945,4.022653,0.969051,1.075592,1.018636
2025-11-08 13:36:26.349,23.853,1.852822,0.824644,1.454187,0.000000,0,4,1.680558,1.939953,2.119374,1.816164,1.661718,1.792175,3.438120,3.204575,3.229319,,,,0.969051,1.050858,1.018636
2025-11-08 13:36:26.603,24.107,1.865766,0.889804,1.320568,0.416511,0,5,1.411082,1.836995,1.702862,1.919963,1.794289,1.966999,3.022309,3.026256,2.793947,3.271503,3.217296,2.929840,1.358962,1.052202,1.053952
2025-11-08 13:36:26.861,24.365,1.858734,0.960520,1.201974,0.000000,0,4,1.411082,1.778747,1.702862,1.919963,1.869290,1.966999,3.022309,2.925374,2.793947,2.981313,3.119033,2.991019,,,
